DATE,HPI,HPA_PC,TENYRT,TENYRT_PC,MORTGAGE,MORTGAGE_PC,UNEMPLOYMENT,UNEMPLOYMENT_PC,WAGES,WAGES_PC,SUPPLY,SUPPLY_PC
2011-11-01,137.151,-3.5296020932833265,2.01,-24.71910112359551,4.1,-3.0732860520094745,8.6,-12.244897959183684,10.23,-1.4450867052023153,132491.0,0.3757718095382401
2011-12-01,136.673,-3.789350678605627,2.11,-30.363036303630363,4.0,-10.313901345291479,8.5,-8.602150537634417,10.24,-0.9671179883945807,132491.0,0.3757718095382401
2012-01-01,136.608,-3.469523311522207,1.89,-43.75,3.95,-18.72427983539095,8.3,-8.79120879120878,10.23,-1.0638297872340372,132619.0,0.3799662420430376
2012-02-01,136.533,-2.7175500723207633,1.87,-46.875,3.98,-17.083333333333332,8.3,-7.77777777777777,10.22,-0.8729388942773992,132619.0,0.3799662420430376
2012-03-01,137.904,-1.4816614039348928,2.03,-43.296089385474865,3.9,-19.91786447638604,8.2,-8.888888888888896,10.2,-0.6815968841285325,132619.0,0.3799662420430376
2012-04-01,139.154,-0.6099651448488551,2.23,-35.54913294797688,3.99,-17.901234567901238,8.2,-9.890109890109894,10.23,-0.19512195121950804,132748.0,0.384909141781169
2012-05-01,140.154,0.17869396157365053,1.98,-39.07692307692307,3.88,-18.828451882845197,8.2,-8.888888888888896,10.25,0.0,132748.0,0.384909141781169
2012-06-01,141.029,0.8358358358358233,1.47,-51.162790697674424,3.75,-17.582417582417577,8.2,-9.890109890109894,10.28,0.29268292682926206,132748.0,0.384909141781169
2012-07-01,141.66899999999998,1.388401834980568,1.67,-47.15189873417722,3.66,-18.847006651884694,8.2,-8.888888888888896,10.28,0.19493177387913815,132890.0,0.3989060304316949
2012-08-01,142.279,2.1334175597780294,1.56,-36.8421052631579,3.49,-23.29670329670329,8.1,-10.000000000000004,10.22,0.0,132890.0,0.3989060304316949
2012-09-01,142.907,3.0576849574880898,1.57,-20.707070707070706,3.59,-14.928909952606634,7.8,-13.333333333333336,10.2,-0.09794319294810543,132890.0,0.3989060304316949
2012-10-01,143.6,4.094932258555574,1.64,-9.392265193370173,3.4,-15.211970074812967,7.8,-11.363636363636372,10.18,-0.5859375000000049,133062.0,0.4309726698417251
2012-11-01,144.583,5.418844922749369,1.75,-16.26794258373205,3.39,-15.249999999999996,7.7,-10.465116279069761,10.24,0.09775171065493438,133062.0,0.4309726698417251
2012-12-01,145.5,6.458481192334988,1.62,-20.975609756097548,3.32,-17.000000000000004,7.9,-7.05882352941176,10.28,0.3906249999999917,133062.0,0.4309726698417251
2013-01-01,146.825,7.479064183649554,1.78,-9.644670050761418,3.35,-15.18987341772152,8.0,-3.6144578313253093,10.29,0.5865102639296063,133234.0,0.4637344573552809
2013-02-01,147.783,8.239766210366724,2.04,3.55329949238579,3.53,-8.785529715762282,7.7,-7.228915662650608,10.23,0.09784735812132864,133234.0,0.4637344573552809
2013-03-01,149.96200000000002,8.743763777700444,1.86,-6.5326633165829096,3.51,-10.000000000000004,7.5,-8.53658536585365,10.26,0.588235294117652,133234.0,0.4637344573552809
2013-04-01,151.517,8.884401454503642,1.86,-16.59192825112107,3.57,-10.526315789473694,7.6,-7.317073170731704,10.32,0.8797653958944267,133408.0,0.49718263175339744
2013-05-01,152.84799999999998,9.057179959187742,1.66,-16.161616161616166,3.4,-12.371134020618557,7.5,-8.53658536585365,10.29,0.3902439024390161,133408.0,0.49718263175339744
2013-06-01,154.19799999999998,9.337795772500678,2.16,35.84905660377359,3.81,1.6000000000000014,7.5,-8.53658536585365,10.3,0.1945525291828925,133408.0,0.49718263175339744
2013-07-01,155.601,9.834190966266451,2.5,49.70059880239522,4.46,21.857923497267752,7.3,-10.975609756097555,10.28,0.0,133593.0,0.5290089547746256
2013-08-01,156.96200000000002,10.31986449159751,2.74,75.64102564102565,4.39,23.661971830985912,7.2,-11.111111111111105,10.3,0.7827788649706464,133593.0,0.5290089547746256
2013-09-01,158.224,10.718159362382512,2.78,70.5521472392638,4.51,25.62674094707521,7.2,-7.692307692307689,10.29,0.8823529411764692,133593.0,0.5290089547746256
2013-10-01,159.24,10.891364902506973,2.66,62.195121951219534,4.32,27.058823529411775,7.2,-7.692307692307689,10.3,1.1787819253438212,133799.0,0.5538771399798591
2013-11-01,160.07399999999998,10.714261012705496,2.65,51.42857142857142,4.1,20.943952802359867,6.9,-10.389610389610388,10.32,0.7812500000000007,133799.0,0.5538771399798591
2013-12-01,160.994,10.648797250859106,2.75,69.75308641975307,4.29,29.216867469879524,6.7,-15.18987341772152,10.3,0.1945525291828925,133799.0,0.5538771399798591
2014-01-01,161.92600000000002,10.285033202792459,3.04,63.44086021505375,4.48,33.7313432835821,6.6,-17.500000000000004,10.3,0.09718172983480626,134005.0,0.5786811174324873
2014-02-01,162.525,9.975436958242842,2.67,30.882352941176467,4.32,22.379603399433442,6.7,-12.987012987012985,10.32,0.8797653958944267,134005.0,0.5786811174324873
2014-03-01,163.085,8.750883557167809,2.66,43.01075268817204,4.37,24.501424501424513,6.7,-10.666666666666664,10.32,0.5847953216374318,134005.0,0.5786811174324873
2014-04-01,163.392,7.83740438366652,2.77,51.366120218579226,4.4,23.24929971988797,6.2,-18.42105263157894,10.3,-0.19379844961239895,134212.0,0.6026625089949629
2014-05-01,163.659,7.073039882759348,2.63,58.43373493975904,4.29,28.059701492537307,6.3,-16.000000000000004,10.3,0.09718172983480626,134212.0,0.6026625089949629
2014-06-01,164.06,6.395673095630309,2.48,14.814814814814806,4.12,8.136482939632547,6.1,-18.66666666666667,10.29,-0.09708737864079188,134212.0,0.6026625089949629
2014-07-01,164.574,5.7666724506912,2.58,4.032258064516133,4.14,-7.174887892376688,6.2,-15.068493150684928,10.3,0.1945525291828925,134423.0,0.6212900376516733
2014-08-01,165.21400000000003,5.257323428600558,2.52,-4.182509505703417,4.12,-6.1503416856491935,6.1,-15.277777777777784,10.34,0.3883495145630985,134423.0,0.6212900376516733
2014-09-01,165.90400000000002,4.853878046314109,2.35,-15.467625899280565,4.1,-9.090909090909093,5.9,-18.055555555555554,10.33,0.38872691933917325,134423.0,0.6212900376516733
2014-10-01,166.641,4.6477015825169445,2.42,-7.984790874524713,4.2,-2.77777777777778,5.7,-20.833333333333332,10.34,0.3883495145630985,134642.0,0.63004955193985
2014-11-01,167.334,4.535402376400928,2.35,-11.320754716981126,3.98,-2.9268292682926753,5.8,-15.942028985507253,10.41,0.8720930232558125,134642.0,0.63004955193985
2014-12-01,168.049,4.382150887610722,2.22,-20.996441281138782,3.97,-7.459207459207455,5.6,-16.4179104477612,10.42,1.1650485436893128,134642.0,0.63004955193985
2015-01-01,168.63299999999998,4.142015488556479,2.17,-27.666666666666668,3.87,-14.569536423841061,5.7,-13.63636363636363,10.54,2.3300970873786255,134862.0,0.6395283758068729
2015-02-01,169.128,4.062759575449919,1.68,-37.07865168539326,3.66,-15.277777777777779,5.5,-17.910447761194032,10.54,2.131782945736423,134862.0,0.6395283758068729
2015-03-01,169.798,4.116258392862614,2.0,-24.812030075187973,3.8,-13.04347826086957,5.4,-19.402985074626862,10.54,2.131782945736423,134862.0,0.6395283758068729
2015-04-01,170.297,4.226033098315708,1.87,-33.68794326241134,3.69,-16.136363636363644,5.4,-12.90322580645161,10.55,2.4271844660194173,135081.0,0.6474830864602271
2015-05-01,170.88099999999997,4.412834002407433,2.12,-19.391634980988588,3.68,-14.219114219114214,5.6,-11.111111111111114,10.53,2.2330097087378507,135081.0,0.6474830864602271
2015-06-01,171.467,4.514811654272834,2.19,-15.769230769230774,3.87,-6.067961165048544,5.3,-13.114754098360654,10.51,2.1379980563654097,135081.0,0.6474830864602271
2015-07-01,172.128,4.590032447409659,2.43,-8.301886792452821,4.02,-2.898550724637684,5.2,-16.129032258064516,10.5,1.941747572815527,135309.0,0.6591133957730447
2015-08-01,172.937,4.674543319573392,2.2,-12.350597609561738,3.98,-3.398058252427187,5.1,-16.393442622950822,10.55,2.030947775628635,135309.0,0.6591133957730447
2015-09-01,173.828,4.776256148133847,2.17,-11.428571428571438,3.84,-6.341463414634142,5.0,-15.254237288135597,10.59,2.516940948693125,135309.0,0.6591133957730447
2015-10-01,174.791,4.890753175989106,2.05,-16.32653061224491,3.85,-8.114558472553705,5.0,-12.280701754385968,10.59,2.4177949709864603,135552.0,0.6758663715631081
2015-11-01,175.737,5.021693140664773,2.16,-8.474576271186429,3.76,-5.527638190954779,5.1,-12.068965517241383,10.6,1.825168107588852,135552.0,0.6758663715631081
2015-12-01,176.54,5.052692964551997,2.15,-6.1135371179039355,3.95,-0.5037783375314866,5.0,-10.714285714285708,10.61,1.8234165067178454,135552.0,0.6758663715631081
2016-01-01,177.27,5.121773318389657,2.27,11.274509803921568,4.01,3.617571059431516,4.8,-15.789473684210531,10.65,1.0436432637571273,135795.0,0.6918183031543356
2016-02-01,177.646,5.036422118159028,1.97,10.055865921787706,3.79,3.5519125683060078,4.9,-10.909090909090903,10.67,1.2333965844402353,135795.0,0.6918183031543356
2016-03-01,178.162,4.9258530724743546,1.83,-13.679245283018867,3.62,-4.73684210526315,5.0,-7.407407407407414,10.69,1.4231499051233432,135795.0,0.6918183031543356
2016-04-01,178.764,4.97190202998292,1.79,-3.243243243243246,3.71,0.2702702702702645,5.1,-5.555555555555569,10.69,1.327014218009467,136039.0,0.7092041071653304
