DATE,HPI,HPA_PC,TENYRT,TENYRT_PC,MORTGAGE,MORTGAGE_PC,UNEMPLOYMENT,UNEMPLOYMENT_PC,WAGES,WAGES_PC,SUPPLY,SUPPLY_PC
2011-11-01,137.151,-3.5296020932833265,2.01,-24.71910112359551,4.1,-3.0732860520094745,8.6,-12.244897959183684,10.23,-1.4450867052023153,132491.0,0.3757718095382401
2011-11-02,137.151,-3.5296020932833265,2.03,-19.762845849802375,4.1,-3.0732860520094745,8.6,-12.244897959183684,10.23,-1.4450867052023153,132491.0,0.3757718095382401
2011-11-03,137.151,-3.5296020932833265,2.09,-18.992248062015513,4.0,-5.660377358490571,8.6,-12.244897959183684,10.23,-1.4450867052023153,132491.0,0.3757718095382401
2011-11-04,137.151,-3.5296020932833265,2.06,-20.76923076923077,4.0,-5.660377358490571,8.6,-12.244897959183684,10.23,-1.4450867052023153,132491.0,0.3757718095382401
2011-11-07,137.151,-3.5296020932833265,2.04,-25.000000000000007,4.0,-5.660377358490571,8.6,-12.244897959183684,10.23,-1.4450867052023153,132491.0,0.3757718095382401
2011-11-08,137.151,-3.5296020932833265,2.1,-20.754716981132066,4.0,-5.660377358490571,8.6,-12.244897959183684,10.23,-1.4450867052023153,132491.0,0.3757718095382401
2011-11-09,137.151,-3.5296020932833265,2.0,-27.536231884057965,4.0,-5.660377358490571,8.6,-12.244897959183684,10.23,-1.4450867052023153,132491.0,0.3757718095382401
2011-11-10,137.151,-3.5296020932833265,2.04,-30.136986301369863,3.99,-4.316546762589922,8.6,-12.244897959183684,10.23,-1.4450867052023153,132491.0,0.3757718095382401
2011-11-14,137.151,-3.5296020932833265,2.04,-28.421052631578945,3.99,-4.316546762589922,8.6,-12.244897959183684,10.23,-1.4450867052023153,132491.0,0.3757718095382401
2011-11-15,137.151,-3.5296020932833265,2.06,-28.719723183391004,3.99,-4.316546762589922,8.6,-12.244897959183684,10.23,-1.4450867052023153,132491.0,0.3757718095382401
2011-11-16,137.151,-3.5296020932833265,2.01,-30.6896551724138,3.99,-4.316546762589922,8.6,-12.244897959183684,10.23,-1.4450867052023153,132491.0,0.3757718095382401
2011-11-17,137.151,-3.5296020932833265,1.96,-31.944444444444443,4.0,-8.883826879271064,8.6,-12.244897959183684,10.23,-1.4450867052023153,132491.0,0.3757718095382401
2011-11-18,137.151,-3.5296020932833265,2.01,-28.21428571428572,4.0,-8.883826879271064,8.6,-12.244897959183684,10.23,-1.4450867052023153,132491.0,0.3757718095382401
2011-11-21,137.151,-3.5296020932833265,1.97,-28.880866425992778,4.0,-8.883826879271064,8.6,-12.244897959183684,10.23,-1.4450867052023153,132491.0,0.3757718095382401
2011-11-22,137.151,-3.5296020932833265,1.94,-33.78839590443686,4.0,-8.883826879271064,8.6,-12.244897959183684,10.23,-1.4450867052023153,132491.0,0.3757718095382401
2011-11-23,137.151,-3.5296020932833265,1.89,-34.14634146341464,3.98,-9.545454545454552,8.6,-12.244897959183684,10.23,-1.4450867052023153,132491.0,0.3757718095382401
2011-11-25,137.151,-3.5296020932833265,1.97,-30.633802816901408,3.98,-9.545454545454552,8.6,-12.244897959183684,10.23,-1.4450867052023153,132491.0,0.3757718095382401
2011-11-28,137.151,-3.5296020932833265,1.97,-29.893238434163706,3.98,-9.545454545454552,8.6,-12.244897959183684,10.23,-1.4450867052023153,132491.0,0.3757718095382401
2011-11-29,137.151,-3.5296020932833265,2.0,-32.659932659932664,3.98,-9.545454545454552,8.6,-12.244897959183684,10.23,-1.4450867052023153,132491.0,0.3757718095382401
2011-11-30,137.151,-3.5296020932833265,2.08,-30.8970099667774,3.98,-9.545454545454552,8.6,-12.244897959183684,10.23,-1.4450867052023153,132491.0,0.3757718095382401
2011-12-01,136.673,-3.789350678605627,2.11,-30.363036303630363,4.0,-10.313901345291479,8.5,-8.602150537634417,10.24,-0.9671179883945807,132491.0,0.3757718095382401
2011-12-02,136.673,-3.789350678605627,2.05,-30.508474576271194,4.0,-10.313901345291479,8.5,-8.602150537634417,10.24,-0.9671179883945807,132491.0,0.3757718095382401
2011-12-05,136.673,-3.789350678605627,2.04,-35.238095238095234,4.0,-10.313901345291479,8.5,-8.602150537634417,10.24,-0.9671179883945807,132491.0,0.3757718095382401
2011-12-06,136.673,-3.789350678605627,2.08,-36.1963190184049,4.0,-10.313901345291479,8.5,-8.602150537634417,10.24,-0.9671179883945807,132491.0,0.3757718095382401
2011-12-07,136.673,-3.789350678605627,2.02,-37.461300309597526,4.0,-10.313901345291479,8.5,-8.602150537634417,10.24,-0.9671179883945807,132491.0,0.3757718095382401
2011-12-08,136.673,-3.789350678605627,1.99,-40.06024096385542,3.99,-13.44902386117137,8.5,-8.602150537634417,10.24,-0.9671179883945807,132491.0,0.3757718095382401
2011-12-09,136.673,-3.789350678605627,2.07,-37.08206686930092,3.99,-13.44902386117137,8.5,-8.602150537634417,10.24,-0.9671179883945807,132491.0,0.3757718095382401
2011-12-12,136.673,-3.789350678605627,2.03,-41.83381088825216,3.99,-13.44902386117137,8.5,-8.602150537634417,10.24,-0.9671179883945807,132491.0,0.3757718095382401
2011-12-13,136.673,-3.789350678605627,1.96,-44.475920679886684,3.99,-13.44902386117137,8.5,-8.602150537634417,10.24,-0.9671179883945807,132491.0,0.3757718095382401
2011-12-14,136.673,-3.789350678605627,1.92,-44.66858789625361,3.99,-13.44902386117137,8.5,-8.602150537634417,10.24,-0.9671179883945807,132491.0,0.3757718095382401
2011-12-15,136.673,-3.789350678605627,1.92,-42.34234234234235,3.94,-18.42650103519669,8.5,-8.602150537634417,10.24,-0.9671179883945807,132491.0,0.3757718095382401
2011-12-16,136.673,-3.789350678605627,1.86,-44.64285714285714,3.94,-18.42650103519669,8.5,-8.602150537634417,10.24,-0.9671179883945807,132491.0,0.3757718095382401
2011-12-19,136.673,-3.789350678605627,1.82,-45.67164179104478,3.94,-18.42650103519669,8.5,-8.602150537634417,10.24,-0.9671179883945807,132491.0,0.3757718095382401
