DATE,VAL
1987-01-01,63.965
1987-02-01,64.42399999999999
1987-03-01,64.736
1987-04-01,65.131
1987-05-01,65.564
1987-06-01,66.071
1987-07-01,66.506
1987-08-01,66.937
1987-09-01,67.33
1987-10-01,67.738
1987-11-01,68.10600000000001
1987-12-01,68.505
1988-01-01,68.857
1988-02-01,69.26100000000001
1988-03-01,69.637
1988-04-01,69.975
1988-05-01,70.426
1988-06-01,70.889
1988-07-01,71.354
1988-08-01,71.8
1988-09-01,72.24
1988-10-01,72.635
1988-11-01,73.071
1988-12-01,73.464
1989-01-01,73.946
1989-02-01,74.381
1989-03-01,74.777
1989-04-01,75.084
1989-05-01,75.305
1989-06-01,75.47800000000001
1989-07-01,75.656
1989-08-01,75.833
1989-09-01,76.055
1989-10-01,76.282
1989-11-01,76.52
1989-12-01,76.705
1990-01-01,76.89699999999999
1990-02-01,77.053
1990-03-01,77.20100000000001
1990-04-01,77.278
1990-05-01,77.298
1990-06-01,77.258
1990-07-01,77.139
1990-08-01,77.009
1990-09-01,76.85
1990-10-01,76.699
1990-11-01,76.37
1990-12-01,76.184
1991-01-01,75.915
1991-02-01,75.734
1991-03-01,75.57
1991-04-01,75.565
1991-05-01,75.765
1991-06-01,75.993
1991-07-01,76.082
1991-08-01,76.109
1991-09-01,76.192
1991-10-01,76.074
1991-11-01,76.015
1991-12-01,76.056
1992-01-01,76.087
1992-02-01,76.156
1992-03-01,76.278
1992-04-01,76.346
1992-05-01,76.399
1992-06-01,76.332
1992-07-01,76.264
1992-08-01,76.23100000000001
1992-09-01,76.23899999999999
1992-10-01,76.377
1992-11-01,76.559
1992-12-01,76.67399999999999
1993-01-01,76.78399999999999
1993-02-01,76.837
1993-03-01,76.867
1993-04-01,76.936
1993-05-01,77.03699999999999
1993-06-01,77.243
1993-07-01,77.429
1993-08-01,77.613
1993-09-01,77.795
1993-10-01,77.942
1993-11-01,78.149
1993-12-01,78.32600000000001
1994-01-01,78.59100000000001
1994-02-01,78.727
1994-03-01,78.85600000000001
1994-04-01,78.987
1994-05-01,79.222
1994-06-01,79.423
1994-07-01,79.595
